,API,Formation,MD,SS
636,490251065900,F1WCbase,2372.03,2630.97
637,490251065900,CRLL,2092.78,2910.22
638,490251065900,NBRRsg,1864.31,3138.69
639,490251065900,NBRRws,1634.24,3368.76
640,490251065900,B1,2573,2430
641,490251065900,SHNNu,130.21,4872.79
642,490251065900,SHNNl,227.39,4775.61
643,490251065900,SHNNbs,295.08,4707.92
644,490251039300,F2WCbase,2976.49,2090.51
645,490251039300,F2WC,2904.5,2162.5
646,490251039300,SHNNbs,423.74,4643.26
647,490251039300,SHNNl,349.23,4717.77
648,490251039300,SHNNu,258.43,4808.57
649,490251039300,NBRRws,1813.68,3253.32
650,490251039300,NBRRsg,2029.04,3037.96
651,490251039300,CRLL,2266.11,2800.89
652,490251039300,F2WCbase,2961.32,2105.68
653,490251039300,B1,2728.15,2338.85
654,490251039300,F1WC,2522.92,2544.08
655,490251039300,F1WCbase,2620.23,2446.77
656,490251039300,StBR,646.63,4420.37
657,490251039300,StFT,1032.56,4034.44
658,490251039300,StAM,1681.06,3385.94
659,490251039300,StGD,1580.14,3486.86
660,490251110000,B1,2880.22,2371.78
661,490251110000,CRLL,2421.18,2830.82
662,490251110000,SHNNl,501.01,4750.99
663,490251110000,SHNNu,414.94,4837.06
664,490251110000,SHNNbs,582.17,4669.83
665,490251110000,F2WC,3053.03,2198.97
666,490251110000,SSXbase,57.02,5194.98
667,490251110000,SSXS,15.22,5236.78
668,490251110000,F1WC,2667.26,2584.74
669,490251110000,F1WCbase,2678.26,2573.74
670,490251110000,CRLL,2421.14,2830.86
671,490251110000,NBRRsg,2191.48,3060.52
672,490251110000,NBRRws,1960.42,3291.58
673,490251110000,F1WC,2666.64,2585.36
674,490251110000,F2WCbase,3132.16,2119.84
675,490251110000,F1WCbase,2832.26,2419.74
676,490251063200,SSXbase,245.56,5004.44
677,490251063200,SSXS,199.35,5050.65
678,490251063200,SHNNu,613.35,4636.65
679,490251063200,SHNNl,692.3,4557.7
680,490251063200,SHNNbs,769.33,4480.67
681,490250651800,SHNNu,734.49,4361.51
682,490250651800,SHNNbs,880.22,4215.78
683,490250651800,SSXS,314.78,4781.22
684,490250651800,SHNNl,819.01,4276.99
685,490250651800,SSXbase,365.79,4730.21
686,490251078400,SSXbase,30.55,5182.45
687,490251078400,SHNNu,409.66,4803.34
688,490251078400,SHNNl,492.71,4720.29
689,490251078400,SHNNbs,571.15,4641.85
690,490251071400,SHNNl,467.76,4671.24
691,490251071400,SHNNu,378.48,4760.52
692,490251071400,SHNNbs,539.18,4599.82
693,490251089700,F1WC,2548.44,2600.56
694,490251089700,CRLL,2300.86,2848.14
695,490251089700,F1WCBench1Base,2569.21,2579.79
696,490251089700,F2WCbase,3000.88,2148.12
697,490251089700,F1WCbase,2712,2437
698,490251089700,B1,2763.61,2385.39
699,490251089700,F1WC,2548.09,2600.91
700,490251089700,F1WCbase,2563.77,2585.23
701,490251089700,CRLL,2300.76,2848.24
702,490251089700,NBRRws,1967.77,3181.23
703,490251089700,NBRRsg,2204.24,2944.76
704,490251089700,SHNNbs,596,4553
705,490251089700,SHNNl,521.2,4627.8
706,490251089700,SHNNu,428.3,4720.7
707,490251089700,SSXbase,61.53,5087.47
708,490251089700,SSXS,15.68,5133.32
