,SitID,Formation,MD,Quality,Unnamed: 0,UWI,DATUM,GL,EREF,UNIT,datum,UWI (AGS),TVDSS
164,102565,11000,514.00,1,871.00,00/10-07-067-04W4/0,686.80,682.01,686.28,M,686.28,0674040710000,172.28
165,102565,12000,514.00,1,871.00,00/10-07-067-04W4/0,686.80,682.01,686.28,M,686.28,0674040710000,172.28
166,102565,13000,514.00,1,871.00,00/10-07-067-04W4/0,686.80,682.01,686.28,M,686.28,0674040710000,172.28
167,102565,14000,568.50,1,871.00,00/10-07-067-04W4/0,686.80,682.01,686.28,M,686.28,0674040710000,117.78
168,102577,1000,329.50,1,1352.00,00/11-24-067-04W4/0,678.00,674.80,678.00,M,678.00,0674042411000,348.50
169,102577,2000,,-1,1352.00,00/11-24-067-04W4/0,678.00,674.80,678.00,M,678.00,0674042411000,
170,102577,3000,,-1,1352.00,00/11-24-067-04W4/0,678.00,674.80,678.00,M,678.00,0674042411000,
171,102577,4000,,-1,1352.00,00/11-24-067-04W4/0,678.00,674.80,678.00,M,678.00,0674042411000,
172,102577,5000,448.00,1,1352.00,00/11-24-067-04W4/0,678.00,674.80,678.00,M,678.00,0674042411000,230.00
173,102577,6000,,-1,1352.00,00/11-24-067-04W4/0,678.00,674.80,678.00,M,678.00,0674042411000,
174,102577,7000,475.00,3,1352.00,00/11-24-067-04W4/0,678.00,674.80,678.00,M,678.00,0674042411000,203.00
175,102577,9000,478.00,3,1352.00,00/11-24-067-04W4/0,678.00,674.80,678.00,M,678.00,0674042411000,200.00
176,102577,9500,478.00,3,1352.00,00/11-24-067-04W4/0,678.00,674.80,678.00,M,678.00,0674042411000,200.00
177,102577,10000,483.00,3,1352.00,00/11-24-067-04W4/0,678.00,674.80,678.00,M,678.00,0674042411000,195.00
178,102577,11000,487.50,1,1352.00,00/11-24-067-04W4/0,678.00,674.80,678.00,M,678.00,0674042411000,190.50
179,102577,12000,487.50,1,1352.00,00/11-24-067-04W4/0,678.00,674.80,678.00,M,678.00,0674042411000,190.50
180,102577,13000,487.50,1,1352.00,00/11-24-067-04W4/0,678.00,674.80,678.00,M,678.00,0674042411000,190.50
181,102577,14000,552.00,1,1352.00,00/11-24-067-04W4/0,678.00,674.80,678.00,M,678.00,0674042411000,126.00
182,102581,1000,351.00,1,689.00,00/07-33-067-04W4/0,701.60,697.80,701.60,M,701.60,0674043307000,350.60
183,102581,2000,,-1,689.00,00/07-33-067-04W4/0,701.60,697.80,701.60,M,701.60,0674043307000,
184,102581,3000,,-1,689.00,00/07-33-067-04W4/0,701.60,697.80,701.60,M,701.60,0674043307000,
185,102581,4000,,-1,689.00,00/07-33-067-04W4/0,701.60,697.80,701.60,M,701.60,0674043307000,
186,102581,5000,469.00,1,689.00,00/07-33-067-04W4/0,701.60,697.80,701.60,M,701.60,0674043307000,232.60
187,102581,6000,,-1,689.00,00/07-33-067-04W4/0,701.60,697.80,701.60,M,701.60,0674043307000,
188,102581,7000,497.00,3,689.00,00/07-33-067-04W4/0,701.60,697.80,701.60,M,701.60,0674043307000,204.60
189,102581,9000,500.50,3,689.00,00/07-33-067-04W4/0,701.60,697.80,701.60,M,701.60,0674043307000,201.10
190,102581,9500,500.50,3,689.00,00/07-33-067-04W4/0,701.60,697.80,701.60,M,701.60,0674043307000,201.10
191,102581,10000,505.00,3,689.00,00/07-33-067-04W4/0,701.60,697.80,701.60,M,701.60,0674043307000,196.60
192,102581,11000,509.00,1,689.00,00/07-33-067-04W4/0,701.60,697.80,701.60,M,701.60,0674043307000,192.60
193,102581,12000,509.00,1,689.00,00/07-33-067-04W4/0,701.60,697.80,701.60,M,701.60,0674043307000,192.60
194,102581,13000,509.00,1,689.00,00/07-33-067-04W4/0,701.60,697.80,701.60,M,701.60,0674043307000,192.60
195,102581,14000,570.00,1,689.00,00/07-33-067-04W4/0,701.60,697.80,701.60,M,701.60,0674043307000,131.60
196,102583,1000,336.00,1,1518.00,00/13-03-067-05W4/0,657.56,654.20,657.56,M,657.56,0674050313000,321.56
197,102583,2000,,-1,1518.00,00/13-03-067-05W4/0,657.56,654.20,657.56,M,657.56,0674050313000,
198,102583,3000,,-1,1518.00,00/13-03-067-05W4/0,657.56,654.20,657.56,M,657.56,0674050313000,
199,102583,4000,,-1,1518.00,00/13-03-067-05W4/0,657.56,654.20,657.56,M,657.56,0674050313000,
200,102583,5000,446.00,1,1518.00,00/13-03-067-05W4/0,657.56,654.20,657.56,M,657.56,0674050313000,211.56
201,102583,6000,,-1,1518.00,00/13-03-067-05W4/0,657.56,654.20,657.56,M,657.56,0674050313000,
202,102583,7000,479.00,1,1518.00,00/13-03-067-05W4/0,657.56,654.20,657.56,M,657.56,0674050313000,178.56
203,102583,9000,,0,1518.00,00/13-03-067-05W4/0,657.56,654.20,657.56,M,657.56,0674050313000,
204,102583,9500,,0,1518.00,00/13-03-067-05W4/0,657.56,654.20,657.56,M,657.56,0674050313000,
205,102583,10000,483.00,1,1518.00,00/13-03-067-05W4/0,657.56,654.20,657.56,M,657.56,0674050313000,174.56
206,102583,11000,487.00,2,1518.00,00/13-03-067-05W4/0,657.56,654.20,657.56,M,657.56,0674050313000,170.56
207,102583,12000,487.00,2,1518.00,00/13-03-067-05W4/0,657.56,654.20,657.56,M,657.56,0674050313000,170.56
208,102583,13000,487.00,2,1518.00,00/13-03-067-05W4/0,657.56,654.20,657.56,M,657.56,0674050313000,170.56
209,102583,14000,543.50,1,1518.00,00/13-03-067-05W4/0,657.56,654.20,657.56,M,657.56,0674050313000,114.06
210,102589,1000,333.00,1,286.00,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,327.02
211,102589,2000,,-1,286.00,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,
212,102589,3000,,-1,286.00,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,
213,102589,4000,,-1,286.00,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,
214,102589,5000,448.00,1,286.00,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,212.02
215,102589,6000,,-1,286.00,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,
216,102589,7000,471.00,1,286.00,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,189.02
217,102589,9000,478.00,3,286.00,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,182.02
218,102589,9500,478.00,3,286.00,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,182.02
219,102589,10000,482.00,2,286.00,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,178.02
220,102589,11000,486.00,1,286.00,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,174.02
221,102589,12000,486.00,1,286.00,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,174.02
222,102589,13000,486.00,1,286.00,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,174.02
223,102589,14000,540.00,1,286.00,00/06-16-067-05W4/0,660.02,656.66,660.02,M,660.02,0674051606000,120.02
224,102592,1000,337.50,1,631.00,00/07-25-067-05W4/0,677.64,673.74,677.64,M,677.64,0674052507000,340.14
225,102592,2000,,-1,631.00,00/07-25-067-05W4/0,677.64,673.74,677.64,M,677.64,0674052507000,
226,102592,3000,,-1,631.00,00/07-25-067-05W4/0,677.64,673.74,677.64,M,677.64,0674052507000,
227,102592,4000,,-1,631.00,00/07-25-067-05W4/0,677.64,673.74,677.64,M,677.64,0674052507000,
228,102592,5000,454.50,1,631.00,00/07-25-067-05W4/0,677.64,673.74,677.64,M,677.64,0674052507000,223.14
229,102592,6000,,-1,631.00,00/07-25-067-05W4/0,677.64,673.74,677.64,M,677.64,0674052507000,
230,102592,7000,480.00,2,631.00,00/07-25-067-05W4/0,677.64,673.74,677.64,M,677.64,0674052507000,197.64
231,102592,9000,484.00,3,631.00,00/07-25-067-05W4/0,677.64,673.74,677.64,M,677.64,0674052507000,193.64
