,L,iterations,regularization,MAE
428,9,60,1.0,63.53977775700275
429,9,60,10.0,95.53332860921721
430,9,70,0.001,69.23932463261681
431,9,70,0.01,52.66874394525087
432,9,70,0.1,43.70322802642537
433,9,70,1.0,65.37983154263003
434,9,70,10.0,100.1352114726355
435,9,80,0.001,69.45846208246154
436,9,80,0.01,52.71504859453139
437,9,80,0.1,44.418226961414206
438,9,80,1.0,65.23607052847328
439,9,80,10.0,106.09444575646249
440,9,90,0.001,71.38299551045247
441,9,90,0.01,53.19287684250372
442,9,90,0.1,45.34627902479909
443,9,90,1.0,64.69282306669145
444,9,90,10.0,109.55739499183169
445,9,100,0.001,72.3587549506315
446,9,100,0.01,53.128428852849225
447,9,100,0.1,46.117642142226956
448,9,100,1.0,64.38001514193778
449,9,100,10.0,111.97118239222868
