API,Elevation
490251126500,5133
490251126600,5151
490251126700,5151
490251126800,5157
490251126900,5161
490251127000,5156.8
490251127100,5165
490251127200,5173
490251127300,5154
490251127400,5321
490251127500,5057
490251127600,5128
490251127700,5165
490251127800,5296
490251127900,5238
490251128000,5218
490251128100,5149
490251128200,5164
490251128300,5179
490251128400,5166
490251128500,5171
490251128600,5181
490251128700,5159
490251128800,5190
490251128900,5176
490251129000,5197
490251129100,5151
490251129200,5163
490251129300,5170
490251129400,5165
490251129500,5133
490251129600,5152
490251129700,5167
490251129800,5165
490251129900,5108
490251130000,5171
490251130100,5171
490251130200,5163
490251130300,5163
490251130400,5158
490251130500,5158
490251130600,5154
490251130700,5153
490251130800,5154
490251130900,5155
490251131000,5274
490251131100,5253
490251131200,5005
490251131300,4982.9
490251131400,4985.27
490251131500,5237
490251131600,5203
490251131700,5200
490251131800,5226
490251131900,5197
490251132000,5192
490251132100,5188
490251132200,5200
490251132300,5194
490251132400,5185
490251132500,5190
490251132600,5187
490251132700,5194
490251132900,5184
490251133000,5181.6
490251133100,5183
490251133200,5204
490251133300,5204
490251133400,5187
490251133500,5187
490251133600,5190
490251133700,5190
490251133800,5187
490251133900,5187
490251134000,5183
490251134100,5169.1
490251134200,5164.8
490251134300,5168
490251134400,5160
490251134500,5168
490251134600,5161.8
490251134700,5161
490251134900,5244
490251135000,5231.75
490251135100,5191.3
490251135300,5084.6
490251135400,5092.9
490251135500,5146
490251135600,5118.7
490251135700,5238
490251135800,5238.7
490251135900,4991.3
490251136000,5080.5
490251136600,5129
490251136800,5226.6
490251136900,5208
490251137000,5278
490251137100,5149.6
490251137200,4980.33
490251137400,5005.6
490251137700,5320
490251143800,4998.8
490251143900,5007
490251144000,4982.9
490251144100,5021.38
490251144200,5093.67
490251144300,5006.25
490251144400,5011.58
490251144500,5022
490251144600,5252
490251144900,4974.26
490251145000,5052
490251145200,5028.75
490251145900,5040
490251146100,5131.6
490251146200,5105.72
490251147800,5418.6
490251150000,4995
490252244500,5171
490252244600,5150
490252244700,5152
490252244800,5163
490252244900,5203
490252245000,5194
490252245100,5175
490252245200,5175
490252245300,5198
490252245400,5148
490252245500,5145
490252245600,5178
490252245700,5182
490252245800,5206
490252245900,5187
490252246000,5205
490252246100,5264
490252246200,5204
490252246300,5208
490252246400,5206
490252246500,5195
490252247100,5249
490252247200,5158
490252247400,5150
490252247500,5253
490252247600,5120
490252247700,5213
490252247800,5108
490252247900,5231
490252248000,5108
490252248100,5129
490252248200,5189
490252248300,5143
490252248400,5109
490252248500,5197
490252248600,5087.2
490252248700,5077
490252249300,5171
490252249400,5166
490252249600,5270
490252249700,5210
490252249800,5173
490252249900,5157
490252250100,5095
490252250200,5079
490252250300,5087
490252250400,5175
490252250500,5146
490252250600,5125
490252250700,5135
490252250800,5164
490252250900,5137
490252251000,5153
490252251100,5136
490252251200,5169
490252251300,5181
490252251400,5120
490252251500,5133
490252251600,5140
490252251700,5152
490252251800,5153
490252251900,5165
490252252000,5150
490252252100,5160
490252252200,5152
490252252300,5153
490252252400,5165
490252252500,5150
490252252600,5161
490252252700,5202
490252252800,5199
490252252900,5199
490252254100,5165
490252254200,5136
490252254300,5139
490252254400,5147
490252254500,5130
490252254600,5136
490252254700,5134
490252254800,5129
490252254900,5141
490252255000,5139
490252255100,5160
490252255200,5171
490252255300,5167
490252255400,5153
490252255500,5142
490252255600,5149
490252255700,5162
490252255800,5167
490252255900,5148
490252256100,5139
490252256200,5136
490252256300,5165
490252256400,5147
490252256800,5130
490252256900,5195
490252257000,5187
490252257100,5192
490252257200,5175
490252257300,5179
490252257400,5142
490252257500,5171
490252257600,5146
490252257700,5176
490252257800,5178
490252257900,5155
490252258000,5180
490252258100,5166
490252258300,5162
490252258400,5171
490252258500,5154
490252258600,5190
490252258700,5176
490252258800,5176
490252258900,5155
490252263400,5119
490252263500,5084
490252263600,4990
490252263800,5338
490252264000,5160
490252264100,5225
490252264200,5110
490252264300,5094
490252264500,5143
490252264600,5131
490252264900,5154
490252265000,5433
490252265100,5023
490252265200,5288
490252265300,5124
490252265400,5167
490252265500,5154
490252265600,5178
490252265800,5160
490252266400,5006
490252266500,5041
490252267200,5160
490252267300,5226
490252267400,5190
490252267500,5180
490252267600,5225
490252267700,5184
490252267800,5270
490252267900,5133
490252268000,5205
490252268500,5325
490252268600,5191
490252269200,5236
490252269300,5068
490252269400,5099
490252269500,5115
490252269600,5107
490252269900,5116
490252270000,5116
490252270100,5183
490252270300,5170
490252270400,5167
490252270800,5271
490252270900,5285
490252271000,5155
490252271100,5213
490252271300,5183
490252271400,5185
490252271500,5334
490252271600,5188
490252272000,5312
490252272300,5058
490252272400,5348
490252272500,5020
490252272900,5036
490252273100,4984
490252273300,5248
490252273400,5264
490252273500,5160
490252273600,5291
490252273800,5174
490252273900,5156
490252274000,5133
490252274200,5231
490252274300,5187
490252274400,5132
490252274500,5216
490252274700,5199
490252275200,5206
490252275300,5162
490252276001,5196
490252276002,5196
490252276003,5196
490252276100,5206
490252276800,5185
490252276900,5196
490252277000,5216
490252277200,5128
490252277300,5130
490252277400,5128
490252277700,5140
490252277800,5170
490252277900,5175.5
490252278000,5175.5
490252278100,5181
490252278200,5171
490252278300,5170
490252278400,5171
490252278500,5188
490252279000,5058
490252279100,5041
490252279200,4983
490252279300,5049
490252280200,5190
490252280300,5116
490252280400,5187
490252280500,5150
490252280700,5198
490252280800,5178
490252282200,5238
490252283300,5268
490252283301,5268
490252284300,5209
490252284600,5233
490252284700,5182
490252284701,5182
490252303100,5244
490252304000,5205.7
490252304700,5225
490252304800,5196
490252305400,5164.7
490252305500,5304
490252312200,5155
490252312300,5176
490252319500,5114.6
490252327100,5074
490252327200,5083
490252327300,5100
490252327400,5176
490252343700,5119
490252345100,5010
490252345101,5010
490252345102,5010
490252345103,5010
490252345104,5010
490252347900,5010
490252347901,5010
490252347902,5010
490252347903,5010
490252347904,5010
490252347905,5010
490252348500,5151
490252350700,5010
490252350800,5010.2
490254038000,5231
490256012900,5223
490256012901,5223
