UWI,DATUM,GL,EREF,UNIT,datum
00/06-05-084-06W4/0,574.68,571,574.68,M,574.68
00/06-06-069-04W4/0,695.6,695.6,699.3,M,699.3
00/06-06-071-25W4/0,647.5,647.5,651,M,651
00/06-06-073-14W4/0,606.552,606.552,609.6,M,609.6
00/06-06-074-19W4/0,687.19,687.19,690.09,M,690.09
00/06-06-075-05W5/0,846.125,842.467,846.125,M,846.125
00/06-06-080-12W4/0,686.8,683.5,686.8,M,686.8
00/06-06-082-13W4/0,1974,1960,1974,F,601.6752
00/06-06-082-17W4/0,1787,1777,1787,F,544.6776
00/06-06-084-17W4/0,540.48,536.88,540.48,M,540.48
00/06-07-069-02W4/0,721.4,717.8,721.4,M,721.4
00/06-07-070-11W4/0,600.669,600.669,603.717,M,603.717
00/06-07-070-20W4/0,634.1,634.1,637.7,M,637.7
00/06-07-071-22W4/0,669.188,669.188,672.998,M,672.998
00/06-07-072-11W4/0,641.09,641.09,644.99,M,644.99
00/06-07-073-06W4/0,711.41,711.41,716.11,M,716.11
00/06-07-073-11W4/0,656.4,656.4,659.2,M,659.2
00/06-07-076-25W4/0,767.182,767.182,771.235,M,771.235
00/06-07-079-01W5/0,595.488,594.665,595.488,M,595.488
00/06-07-089-21W4/0,511.15,511.15,513.283,M,513.283
00/06-08-069-15W4/0,545.866,545.866,549.524,M,549.524
00/06-08-070-16W4/0,569.4,569.4,573,M,573
00/06-08-074-01W4/0,705.5,705.5,709.2,M,709.2
00/06-08-074-11W4/0,661.416,661.416,664.891,M,664.891
00/06-08-074-14W4/0,712.318,712.318,715.366,M,715.366
00/06-08-075-16W4/0,675.437,675.437,678.485,M,678.485
00/06-08-080-09W4/0,2310,2298,2310,F,704.088
00/06-08-081-22W4/0,597.6,597.6,600.9,M,600.9
00/06-08-084-04W4/0,464.6,461.6,464.6,M,464.6
00/06-08-086-18W4/0,505.816,502.768,505.816,M,505.816
00/06-09-068-04W4/0,692.65,692.65,696.5,M,696.5
00/06-09-072-09W4/0,678.34,678.34,681.39,M,681.39
00/06-09-073-14W4/0,652.5,652.5,656.64,M,656.64
00/06-09-074-05W4/0,618.6,618.6,623.1,M,623.1
00/06-09-083-03W4/0,1578.5,1568,1578.5,F,481.1268
00/06-10-072-25W4/0,606.857,606.857,610.819,M,610.819
00/06-10-073-07W4/0,728.6,728.6,733,M,733
00/06-10-074-25W4/0,677.67,677.67,680.97,M,680.97
00/06-10-078-15W4/0,635.2,631.2,635.2,M,635.2
00/06-11-067-17W4/0,611.124,608.076,611.124,M,611.124
00/06-11-070-13W4/0,579.7,579.7,583.3,M,583.3
00/06-11-071-22W4/0,2232.5,2232.5,2245,F,684.276
00/06-11-075-03W5/0,716.067,716.067,720.547,M,720.547
